Company,Role,Type,City,Region,Visa,Salary (est.),Careers / Apply URL,Known Contact,Find Recruiter (LinkedIn search),Notes,Status,Date Reached Out,Recruiter Name,Response,Next Step,Link Status,Last Verified
Tmh,Product Manager (m/f/d) Home Energy Solution (B2C),Product,München,Europe,Likely / check,,https://www.arbeitnow.com/jobs/product-manager-home-energy-solution-b2c-munchen-91004,,https://www.linkedin.com/search/results/people/?keywords=Tmh%20product%20recruiter,Live posting from Arbeitnow. Verify visa/relocation before applying.,,,,,,unknown,2026-09-11
Pammys™ (dieseo GmbH),Head of Product Marketing (m/w/d),Product,Hamburg,Europe,Likely / check,,https://www.arbeitnow.com/jobs/head-of-product-marketing-hamburg-173150,,https://www.linkedin.com/search/results/people/?keywords=Pammys%E2%84%A2%20product%20recruiter,Live posting from Arbeitnow. Verify visa/relocation before applying.,,,,,,unknown,2026-09-11
Pammys™ (dieseo GmbH),Head of Product Development & Engineering (m/w/d),Product,Hamburg,Europe,Likely / check,,https://www.arbeitnow.com/jobs/head-of-product-development-engineering-hamburg-387377,,https://www.linkedin.com/search/results/people/?keywords=Pammys%E2%84%A2%20product%20recruiter,Live posting from Arbeitnow. Verify visa/relocation before applying.,,,,,,unknown,2026-09-11
Pammys™ (dieseo GmbH),Head of Product Development (m/w/d),Product,Hamburg,Europe,Likely / check,,https://www.arbeitnow.com/jobs/head-of-product-development-hamburg-290246,,https://www.linkedin.com/search/results/people/?keywords=Pammys%E2%84%A2%20product%20recruiter,Live posting from Arbeitnow. Verify visa/relocation before applying.,,,,,,unknown,2026-09-11
Product Manager,Product Manager,Product,Germany/EU,Europe,Sponsors visa,,https://www.arbeitnow.com/jobs/product-manager,,https://www.linkedin.com/search/results/people/?keywords=Product%20Manager%20product%20recruiter,Auto-discovered from Arbeitnow visa-sponsorship board.,,,,,,unknown,2026-09-11
Monzo,"Chief of Staff, Product",Founding,London,London,Likely / check,,https://job-boards.greenhouse.io/monzo/jobs/8121572,,https://www.linkedin.com/search/results/people/?keywords=Monzo%20product%20recruiter,Live Greenhouse posting at Monzo. Check listing for visa/relocation.,,,,,,ok,2026-09-11
Monzo,"Lead Product Manager, Payments",Product,London,London,Likely / check,,https://job-boards.greenhouse.io/monzo/jobs/8156058,,https://www.linkedin.com/search/results/people/?keywords=Monzo%20product%20recruiter,Live Greenhouse posting at Monzo. Check listing for visa/relocation.,,,,,,ok,2026-09-11
Monzo,Payment Operations Manager,Ops,Madrid,Europe,Likely / check,,https://job-boards.greenhouse.io/monzo/jobs/8094175,,https://www.linkedin.com/search/results/people/?keywords=Monzo%20operations%20recruiter,Live Greenhouse posting at Monzo. Check listing for visa/relocation.,,,,,,ok,2026-09-11
Monzo,"Senior Product Manager, EU ",Product,Barcelona; London,London,Likely / check,,https://job-boards.greenhouse.io/monzo/jobs/7622551,,https://www.linkedin.com/search/results/people/?keywords=Monzo%20product%20recruiter,Live Greenhouse posting at Monzo. Check listing for visa/relocation.,,,,,,ok,2026-09-11
Monzo,Senior Technical Program Manager,Ops,London,London,Likely / check,,https://job-boards.greenhouse.io/monzo/jobs/8083280,,https://www.linkedin.com/search/results/people/?keywords=Monzo%20operations%20recruiter,Live Greenhouse posting at Monzo. Check listing for visa/relocation.,,,,,,ok,2026-09-11
N26,"Head of Product, Core Banking Systems",Product,Berlin,Europe,Confirm w/ company,,https://n26.com/en-eu/careers/positions/8111591?gh_jid=8111591,,https://www.linkedin.com/search/results/people/?keywords=N26%20product%20recruiter,Live Greenhouse posting at N26. Check listing for visa/relocation.,,,,,,ok,2026-09-11
N26,Head of Product - Lending,Product,Berlin,Europe,Confirm w/ company,,https://n26.com/en-eu/careers/positions/7988511?gh_jid=7988511,,https://www.linkedin.com/search/results/people/?keywords=N26%20product%20recruiter,Live Greenhouse posting at N26. Check listing for visa/relocation.,,,,,,ok,2026-09-11
N26,Marketing Operations Manager,Ops,Berlin,Europe,Confirm w/ company,,https://n26.com/en-eu/careers/positions/8177452?gh_jid=8177452,,https://www.linkedin.com/search/results/people/?keywords=N26%20operations%20recruiter,Live Greenhouse posting at N26. Check listing for visa/relocation.,,,,,,ok,2026-09-11
N26,Senior Product Manager - Operations Automation & Enablement (OAE),Ops,Barcelona,Europe,Confirm w/ company,,https://n26.com/en-eu/careers/positions/7996996?gh_jid=7996996,,https://www.linkedin.com/search/results/people/?keywords=N26%20operations%20recruiter,Live Greenhouse posting at N26. Check listing for visa/relocation.,,,,,,ok,2026-09-11
N26,Senior Product Manager - Runtime Platform,Product,Barcelona,Europe,Confirm w/ company,,https://n26.com/en-eu/careers/positions/7653388?gh_jid=7653388,,https://www.linkedin.com/search/results/people/?keywords=N26%20product%20recruiter,Live Greenhouse posting at N26. Check listing for visa/relocation.,,,,,,ok,2026-09-11
N26,Strategy & Operations Manager - Core Banking,Ops,Berlin,Europe,Confirm w/ company,,https://n26.com/en-eu/careers/positions/7913103?gh_jid=7913103,,https://www.linkedin.com/search/results/people/?keywords=N26%20operations%20recruiter,Live Greenhouse posting at N26. Check listing for visa/relocation.,,,,,,ok,2026-09-11
